movie_name,ranking,score,score_num
恋恋笔记本,161,8.5,369116人评价
你看起来好像很好吃,162,8.8,193194人评价
三块广告牌,163,8.7,462370人评价
海洋,164,9.0,113894人评价
虎口脱险,165,8.9,134580人评价
头脑特工队,166,8.7,321118人评价
二十二,167,8.7,157918人评价
你的名字。,168,8.4,705761人评价
无敌破坏王,169,8.7,289129人评价
冰川时代,170,8.5,361254人评价
雨中曲,171,9.0,119631人评价
我是山姆,172,8.9,143727人评价
燃情岁月,173,8.8,178824人评价
爆裂鼓手,174,8.6,310572人评价
人工智能,175,8.6,248331人评价
未麻的部屋,176,8.9,138144人评价
穿越时空的少女,177,8.6,237969人评价
模仿游戏,178,8.6,338568人评价
一个叫欧维的男人决定去死,179,8.8,182850人评价
魂断蓝桥,180,8.8,159085人评价
房间,181,8.8,217785人评价
猜火车,182,8.5,298386人评价
忠犬八公物语,183,9.1,89840人评价
魔女宅急便,184,8.6,264942人评价
恐怖游轮,185,8.4,437223人评价
罗生门,186,8.7,167501人评价
完美陌生人,187,8.5,317780人评价
阿飞正传,188,8.5,281724人评价
哪吒闹海,189,8.9,114864人评价
香水,190,8.5,348860人评价
黑客帝国3：矩阵革命,191,8.6,212622人评价
海街日记,192,8.7,198878人评价
朗读者,193,8.5,325695人评价
浪潮,194,8.7,167300人评价
可可西里,195,8.7,164400人评价
谍影重重2,196,8.6,209593人评价
谍影重重,197,8.5,249885人评价
牯岭街少年杀人事件,198,8.8,141744人评价
战争之王,199,8.6,216382人评价
地球上的星星,200,8.9,113886人评价
天书奇谭,201,9.1,79870人评价
惊魂记,202,8.9,113942人评价
青蛇,203,8.5,290734人评价
疯狂的石头,204,8.4,430242人评价
海蒂和爷爷,205,9.1,88569人评价
一次别离,206,8.7,162887人评价
终结者2：审判日,207,8.6,189385人评价
初恋这件小事,208,8.3,602862人评价
源代码,209,8.4,504615人评价
追随,210,8.9,104001人评价
步履不停,211,8.8,129319人评价
小萝莉的猴神大叔,212,8.5,251258人评价
新龙门客栈,213,8.5,245246人评价
再次出发之纽约遇见你,214,8.5,233158人评价
爱在午夜降临前,215,8.8,157726人评价
撞车,216,8.6,212606人评价
梦之安魂曲,217,8.7,139457人评价
无耻混蛋,218,8.5,280436人评价
城市之光,219,9.3,61425人评价
东京物语,220,9.2,68376人评价
彗星来的那一夜,221,8.5,259285人评价
绿里奇迹,222,8.7,138244人评价
血钻,223,8.6,183549人评价
2001太空漫游,224,8.7,139558人评价
功夫,225,8.3,424514人评价
这个男人来自地球,226,8.5,236251人评价
E.T. 外星人,227,8.5,202586人评价
聚焦,228,8.8,165564人评价
末路狂花,229,8.7,132338人评价
奇迹男孩,230,8.6,297516人评价
变脸,231,8.4,263535人评价
发条橙,232,8.5,229527人评价
勇闯夺命岛,233,8.6,175633人评价
黑鹰坠落,234,8.6,160251人评价
黄金三镖客,235,9.1,67852人评价
秒速5厘米,236,8.3,393988人评价
疯狂的麦克斯4：狂暴之路,237,8.6,277419人评价
非常嫌疑犯,238,8.6,155120人评价
我爱你,239,9.0,80103人评价
国王的演讲,240,8.4,421496人评价
卡萨布兰卡,241,8.6,154502人评价
千钧一发,242,8.7,122700人评价
遗愿清单,243,8.6,178336人评价
美国丽人,244,8.5,229655人评价
驴得水,245,8.3,472501人评价
四个春天,246,8.9,78192人评价
新世界,247,8.7,131191人评价
荒岛余生,248,8.5,176953人评价
釜山行,249,8.4,510223人评价
枪火,250,8.7,128870人评价
